Nombre del Ambito      |       Tipo del Datos       |       Valor del Ambito      |     Tipo del Ambito      |       Numero de clase     |       Si es parametro
global1              |               int               |                             |           1            |               0             |               0
global2              |               int               |                             |           1            |               0             |               0
global3              |               double               |                             |           1            |               0             |               0
perimeter              |               double               |                             |           1            |               1             |               0
CalculatePerimeter              |               void               |                             |           3            |               1             |               0
sideA              |               int               |                             |           2            |               1             |               1
sideB              |               int               |                             |           2            |               1             |               1
perimeter              |               double               |                             |           2            |               1             |               0
CalculateArea              |               double               |                             |           3            |               1             |               0
sideA              |               int               |                             |           2            |               1             |               1
sideB              |               int               |                             |           2            |               1             |               1
area              |               double               |                             |           2            |               1             |               0
ReturnSumSides              |               int               |                             |           3            |               1             |               0
sideA              |               int               |                             |           2            |               1             |               1
sideB              |               int               |                             |           2            |               1             |               1
sum              |               int               |                             |           2            |               1             |               0
sum              |               int               |               sideAsideB              |           2            |               1             |               0
Rectangule              |               class               |                             |           4            |               1             |               0
